Buzzword, Count
Washington Heights, 2
Harlem, 7
Inwood, 0
Sugar Hill, 0
Upper East Side, 24
Carnegie Hill, 2
Upper West Side, 19
Central Park, 9
Midtown, 18
Rockerfeller Center, 0
Theatre District, 0
United Nations, 1
Times Square, 1
Hudson Yards, 12
Herald Square, 1
Koreatown, 0
Madison Square, 4
Madison Square Garden, 2
Kips Bay, 1
Chelsea, 33
Flatiron District, 0
Gramercy Park, 0
Stuyvesant Town, 0
Meatpacking District, 0
NoHo, 0
Alphabet City, 1
East Village, 7
Greenwich Village, 3
Bowery, 10
 West Village, 3
Lower East Side, 4
SoHo, 0
NoLita, 0
Little Italy, 1
Chinatown, 0
Financial District, 5
Tribeca, 21
Civic Center, 0
South Street Seaport, 1
Battery Park, 11
Bowling Green, 0
NYU, 1
High Line, 11
MoMA, 2
Guggenhiem, 0
Whitney Museum, 0
WTC, 5
Ground Zero, 0
Penn Station, 3
Grand Central, 5
Hell's Kitchen, 1
